abs(x)		compute the absolute value of <i>x</i>
sign(x)		positive / negative sign (-1 with <i>x</i> &lt; 0, 1 with <i>x</i> &gt;= 0)
int(x)		round to integer, toward zero
gauss(x)	largest integral value not greater than <i>x</i>
frac(x)		remainder
round(x, digit)	round the number <i>x</i>, away from zero.\n<i>digit</i> is the number of digits to which you want to round <i>x</i>.
min(a, b, c, ...)	The smallest value of arguments
max(a, b, c, ...)	The largest value of arguments
sumsq(a, b, c, ...)	square sum of arguments
sqr(x)		squaring
sqrt(x)		square root
exp(x)		base-e exponential function (<i>x</i> &lt;= 690)
expm1(x)	exp(<i>x</i>)-1. The result is computed in a way that is accurate even if the value of <i>x</i> is near zero.
ln(x)		natural logarithmic function
ln1p(x)		ln(1+<i>x</i>). The result is computed in a way that is accurate even if the value of <i>x</i> is near zero.
log(x)		base-10 logarithmic function
log1p(x)	log(1+<i>x</i>). The result is computed in a way that is accurate even if the value of <i>x</i> is near zero.
sin(x)		sine function
cos(x)		cosine function
tan(x)		tangent function
asin(x)		arc sine function
acos(x)		arc cosine function
atan(x)		arc tangent function
sinh(x)		hyperbolic sine function
cosh(x)		hyperbolic cosine function
tanh(x)		hyperbolic tangent function
asinh(x)	inverse hyperbolic sine function
acosh(x)	inverse hyperbolic cosine function
atanh(x)	inverse hyperbolic tangent function
fmod(x, y)	compute the floating-point remainder of dividing <i>x</i> by <i>y</i>
rand(x)		returns a random value equally distributed over the range [0..<i>x</i>)
srand(x)	Sets the seed for the random number generator which is used by the <b>rand</b>() function
theta(x)	staircase function (1 if <i>x</i> &gt;= 0, 0 otherwise)
delta(x)	Kronecker delta (1 when <i>x</i> = 0, 0 otherwise)
gamma(x)	gamma function
icgam(m, x)	incomplete gamma function
erf(x)		error function erf(<i>x</i>)
erfc(x)		complementary error function erfc(<i>x</i>)
qinv(x)		inverse complementary error function
ei(x)		compute the exponential integral Ei(<i>x</i>)
beta(x, y)	beta function
icbeta(a, b, x)	incomplete beta function
jn(n, x)	compute the regular cylindrical Bessel function of order <i>n</i>, J<sub><i>n</i></sub>(|<i>x</i>|)
yn(n, x)	compute the irregular cylindrical Bessel function of order <i>n</i>, Y<sub><i>n</i></sub>(|<i>x</i>|)
in(n, x)	compute the regular modified cylindrical Bessel function of order |<i>n</i>|, I<sub><i>n</i></sub>(|<i>x</i>|)
kn(n, x)	compute the irregular modified cylindrical Bessel function of order |<i>n</i>|, K<sub><i>n</i></sub>(|<i>x</i>|)
jl(l, x)	compute the regular spherical Bessel function of order |<i>l</i>|, j<sub><i>l</i></sub>(|<i>x</i>|)
yl(l, x)	compute the irregular spherical Bessel function of order |<i>l</i>|, y<sub><i>l</i></sub>(|<i>x</i>|)
jnu(nu, x)	compute the regular cylindrical Bessel function of fractional order |<i>nu</i>|, J<sub><i>nu</i></sub>(|<i>x</i>|)
ynu(nu, x)	compute the irregular cylindrical Bessel function of fractional order |<i>nu</i>|, Y<sub><i>nu</i></sub>(|<i>x</i>|)
inu(nu, x)	compute the regular modified Bessel function of fractional order |<i>nu</i>|, I<sub><i>nu</i></sub>(|<i>x</i>|)
knu(nu, x)	compute the irregular modified Bessel function of fractional order |<i>nu</i>|, K<sub><i>nu</i></sub>(|<i>x</i>|)
pn(l, x)	evaluate the Legendre polynomial P<sub>l</sub>(<i>x</i>) for a specific value of <i>l, x</i> subject to <i>l</i> &gt;= 0, |<i>x</i>| &lt;= 1
lgn(n, a, x)	evaluate the generalized Laguerre polynomials L<sup><i>a</i></sup><sub><i>n</i></sub>(<i>x</i>) for <i>a</i> &gt; -1, <i>n</i> &gt;= 0
hn(n, x)	Hermite polynomials
tn(n, x)	Chebyshev polynomials
zeta(s)		compute the Riemann zeta function zeta(s) for arbitrary <i>s</i>, <i>s</i> != 1
zeta_int(n)	compute the Riemann zeta function zeta(n) for integer <i>n</i>, <i>n</i> != 1
zetam1(s)	compute zeta(<i>s</i>) - 1 for arbitrary <i>s</i>, <i>s</i> != 1
zetam1_int(n)	compute zeta(<i>n</i>) - 1 for integer <i>n</i>, <i>n</i> != 1
choose(n, m)	the combinatorial factor <i>n</i> choose <i>m</i>: <i>n!/(m!(n-m)!)</i>
mjd(year, month, day, hour, min, sec)	Modified Julian Date (date and time are given in UTC)
unix2mjd(time)	Modified Julian Date\n<i>time</i> represents the number of seconds elapsed since the Epoch,\n1970-01-01 00:00:00 +0000 (UTC))
mjd2unix(mjd)	time represents the number of seconds elapsed since the Epoch at <i>mjd</i>
mjd2year(mjd)	year of Gregorian calendar corresponding to Modified Julian Day <i>mjd</i>
mjd2month(mjd)	month of Gregorian calendar corresponding to Modified Julian Day <i>mjd</i>
mjd2day(mjd)	Gregorian calendar day corresponding to Modified Julian Day <i>mjd</i>
mjd2wday(mjd)	The day of the week as a decimal range 1 to 7, Monday being 1 corresponding to <i>mjd</i>
mjd2yday(mjd)	The day of the year as a decimal number (range 001 to 366) corresponding to <i>mjd</i>
time()		returns the time as the number of seconds since the Epoch,\n1970-01-01 00:00:00 +0000 (UTC)
eq(x, y, prec)	True (= 1) when <i>x</i> == <i>y</i>.\nThe number of digits of comparison can be specified with <i>prec</i>\n(<i>prec</i> == 0 is exact match).
neq(x, y, prec)	True (= 1) when <i>x</i> != <i>y</i>.\nThe number of digits of comparison can be specified with <i>prec</i>\n(<i>prec</i> == 0 is exact match).
ge(x, y, prec)	True (= 1) when <i>x</i> &gt;= <i>y</i>.\nThe precision allows you to specify the number of digits for comparison\n(<i>prec</i> == 0 does not specify the number of digits).
gt(x, y, prec)	True (= 1) when <i>x</i> &gt; <i>y</i>.\nThe precision allows you to specify the number of digits for comparison\n(<i>prec</i> == 0 does not specify the number of digits).
le(x, y, prec)	True (= 1) when <i>x</i> &lt;= <i>y</i>.\nThe precision allows you to specify the number of digits for comparison\n(<i>prec</i> == 0 does not specify the number of digits).
lt(x, y, prec)	True (= 1) when <i>x</i> &lt; <i>y</i>.\nThe precision allows you to specify the number of digits for comparison\n(<i>prec</i> == 0 does not specify the number of digits).
not(x)		True (= 1) when <i>x</i> == 0
or(x, y)	True (= 1) when (<i>x</i> != 0) or (<i>y</i> != 0)
and(x, y)	True (= 1) when (<i>x</i> != 0) and (<i>y</i> != 0)
xor(x, y)	True (= 1) when (<i>x</i> != 0) xor (<i>y</i> != 0)
size(a)	number of elements of array <i>a</i>
sort(a, ignore_case)	sort elements of array <i>a</i>\nfold lower case to upper case characters when <i>ignore_case</i> is not zero.
rsort(a, ignore_case)	reverse sort elements of array <i>a</i>\nfold lower case to upper case characters when <i>ignore_case</i> is not zero.
pop(a ,n)		remove the last <i>n</n> elements of array <i>a</i> (<i>n</i> = 0 is as same as <i>n</i> = 1).\nReturns the new size of the array.
push(a, x)	adds new element <i>x</i> to the end of an array <i>a</i>.\nReturns the new size of the array.
