abs(x)		x の絶対値
sign(x)		正負の符号 (x < 0 で -1、x >= 0 で 1) 
int(x)		0に向かって切捨てた整数部
gauss(x)	ガウスの記号[ ] ([n]はnを越えない最大の整数)
frac(x)		小数部
round(x)	四捨五入した整数部
min(a,b,c,...)	引数のうちもっとも小さな値
max(a,b,c,...)	引数のうちもっとも大きな値
sumsq(a,b,c,...)	引数の自乗和
sqr(x)		二乗
sqrt(x)		平方根
exp(x)		指数(x≦690)
ln(x)		自然対数
log(x)		常用対数
sin(x)		サイン
cos(x)		コサイン
tan(x)		タンジェント
asin(x)		逆サイン
acos(x)		逆コサイン
atan(x)		逆タンジェント
sinh(x)		ハイパボリックサイン
cosh(x)		ハイパボリックコサイン
tanh(x)		ハイパボリックタンジェント
asinh(x)	逆ハイパボリックサイン
acosh(x)	逆ハイパボリックコサイン
atanh(x)	逆ハイパボリックタンジェント
fmod(x, y)	x を y で割った浮動小数点剰余
rand(x)		0≦rand(x)＜x (x＞0のとき)の乱数
srand(x)	rand()  関数で作られる疑似乱数系列の新しい種を設定する。
theta(x)	階段関数(x≧0 のとき 1,  それ以外は 0 )
delta(x)	クロネッカーのδ(x=0 のとき 1, それ以外は 0)
gamma(x)	ガンマ関数 Γ(x)
icgam(m,x)	不完全ガンマ関数 Γ(μ,x)
erf(x)		誤差関数 Erf(x)
erfc(x)		相補誤差関数 Erfc(x)
qinv(x)		誤差関数 Erfc(x) の逆関数
ei(x)		積分指数関数 Ei(x)
beta(x,y)	ベータ関数 B(p,q)
icbeta(x,y)	不完全ベータ関数 I(a,b,x) (0 &lt;= x &lt;= 1) 
jn(n,x)		第1種n次ベッセル関数
yn(n,x)		第2種n次ベッセル関数
in(n,x)		第1種n次変形ベッセル関数
kn(n,x)		第2種n次変形ベッセル関数
jl(l,x)		第1種l次球ベッセル関数
yl(l,x)		第2種l次球ベッセル関数
jnu(nu,x)	第1種nu次ベッセル関数 (nu は正の実数) 
ynu(nu,x)	第2種nu次ベッセル関数 (nu は正の実数) 
inu(nu,x)	第1種nu次変形ベッセル関数 (nu は正の実数) 
knu(nu,x)	第2種nu次変形ベッセル関数 (nu は正の実数) 
pn(n,x)		ルジャンドル多項式
lgn(n,a,x)	ラゲール倍多項式
hn(n,x)		エルミート多項式
tn(n,x)		チェビシフ多項式
zeta(x)		リーマンゼータ関数 ζ(x)
zeta_INT(x)	リーマンゼータ関数 ζ(x) (x は整数) 
zetam1(x)	リーマンゼータ関数 ζ(x) - 1
zetam1_INT(x)	リーマンゼータ関数 ζ(x) - 1 (x は整数) 
choose(n,m)	the combinatorial factor n choose m: n!/(m!(n-m)!)
mjd(year,month,day,hour,min,sec)	修正ユリウス日(year, month, day はグレゴリオ暦、hour,min,sec は UTC 時刻、うるう秒は考慮されない)
unix2mjd(time)	修正ユリウス日(time は 1970年1月1日00:00:00 UTC からの経過秒数、うるう秒は考慮されない)
mjd2unix(mjd)	修正ユリウス日 mjd の1970年1月1日00:00:00 UTC からの経過秒数(うるう秒は考慮されない)
mjd2year(mjd)	修正ユリウス日に対応するグレゴリオ暦の年
mjd2month(mjd)	修正ユリウス日に対応するグレゴリオ暦の月
mjd2day(mjd)	修正ユリウス日に対応するグレゴリオ暦の日
mjd2wday(mjd)	修正ユリウス日に対応するグレゴリオ暦の曜日 (1:月曜日 から 7:日曜日) 
mjd2yday(mjd)	修正ユリウス日に対応するグレゴリオ暦の 1 月 1 日からの通算日数 (1 から 366) 
time()		紀元 (1970年1月1日00:00:00 UTC) からの経過時間を秒単位で返す。
eq(x,y,prec)	x＝y のとき真(=1)。prec で比較の桁数を指定できる (prec == 0 は完全一致) 。
neq(x,y,prec)	x≠y のとき真(=1)。prec で比較の桁数を指定できる (prec == 0 は完全一致) 。
ge(x,y,prec)	x≧y のとき真(=1)。prec で比較の桁数を指定できる (prec == 0 は桁数指定なし) 。
gt(x,y,prec)	x＞y のとき真(=1)。prec で比較の桁数を指定できる (prec == 0 は桁数指定なし) 。
le(x,y,prec)	x≦y のとき真(=1)。prec で比較の桁数を指定できる (prec == 0 は桁数指定なし) 。
lt(x,y,prec)	x＜y のとき真(=1)。prec で比較の桁数を指定できる (prec == 0 は桁数指定なし) 。
not(x)		x＝0 のとき真(=1)
or(x,y)		(x≠0) or (y≠0) のとき真(=1)
and(x,y)	(x≠0) and (y≠0) のとき真(=1)
xor(x,y)	(x≠0) xor (y≠0) のとき真(=1)
size(a)		配列 a の要素数
sort(a)		配列 a を整列する
rsort(a)	配列 a を逆順に整列する
pop(a)		配列 a から末尾の要素を取り除いてそれを返す
push(a,x)	配列 a の末尾に x を追加する (戻り値は x) 
shift(a)	配列 a の先頭の要素を取り除いてそれを返す。残りの要素はひとつずつ前に詰められる
unshift(a,x)	配列 a の先頭に x を挿入する (戻り値は x) 
array_sum(a)	配列 a の要素の和を返す 
array_sumsq(a)	配列 a の要素の自乗和を返す 
array_average(a)	配列 a の要素の平均を返す 
array_stdevp(a)	配列 a の要素の標準偏差を返す 
array_stdev(a)	配列 a の要素の不偏標準偏差を返す 
array_max(a)	配列 a に含まれる最大の値を返す 
array_min(a)	配列 a に含まれる最小の値を返す 
array_clear(a)	配列 a の配列の要素数を 0 にする 
